Date,AAPL_Price,MSFT_Price,AAPL_Return,MSFT_Return,AAPL_CumReturn,MSFT_CumReturn
2019-01-03,33.832454681396484,90.92445373535156,-0.09960714172227603,-0.03678843969935086,0.900392858277724,0.9632115603006491
2019-01-04,35.27672576904297,95.15330505371094,0.04268892403011626,0.04650950481009253,0.938829660602001,1.0080100529975888
2019-01-07,35.19820022583008,95.27465057373048,-0.0022259872905154854,0.0012752633232344657,0.936739837709542,1.0092955312476284
2019-01-08,35.869197845458984,95.96546173095705,0.019063407086834516,0.00725073409418564,0.9545972905702542,1.0166136647671549
2019-01-09,36.47831344604492,97.33772277832033,0.016981578545756326,0.0142995305041147,0.9708078594396392,1.0311507628773926
2019-01-10,36.59489440917969,96.7122573852539,0.003195897839608275,-0.006425724531185839,0.9739104621802971,1.0245248721250204
2019-01-11,36.2356071472168,95.96546173095705,-0.009817961433241984,-0.007721830453424228,0.96434864682318,1.0166136647671549
2019-01-14,35.690738677978516,95.26531219482422,-0.015036824608032906,-0.007295849188906356,0.9498479053599059,1.0091966047856322
2019-01-15,36.42121124267578,98.0285186767578,0.020466725872165137,0.02900537895978994,0.9692881820591573,1.038468734752373
2019-01-16,36.866153717041016,98.3739242553711,0.012216575429097265,0.003523521351498138,0.9811295642478156,1.0421278015121362
2019-01-17,37.08505630493164,99.06471252441406,0.005937765831791619,0.007022066815691286,0.9869552818509669,1.0494456925648439
2019-01-18,37.313472747802734,100.54900360107422,0.0061592583544418655,0.01498304531287431,0.993034194416168,1.0651695849299436
2019-01-22,36.47593688964844,98.65399169921876,-0.022445936989438087,-0.01884665023010934,0.9707446114599453,1.0450947063270182
2019-01-23,36.62345123291016,99.61550903320312,0.00404415501945854,0.00974636015657504,0.9746704531529934,1.0552805757326114
2019-01-24,36.33316421508789,99.139404296875,-0.007926260580308653,-0.004779423816119177,0.9669449611613753,1.050236942616267
2019-01-25,37.537132263183594,100.044921875,0.03313688950866922,0.009133780705534722,0.9989865095003443,1.0598295765389751
2019-01-28,37.18975067138672,98.0938720703125,-0.009254345520091523,-0.01950173750073214,0.9897415431715179,1.0391610583417998
2019-01-29,36.80427932739258,96.0961685180664,-0.010364988660456875,-0.020365222720682974,0.979482883299762,1.0179983119460085
2019-01-30,39.319297790527344,99.30743408203124,0.0683349466175498,0.03341720709042728,1.0464157938428549,1.0520169723540136
2019-01-31,39.602447509765625,97.4870834350586,0.00720129135435621,-0.018330456967289854,1.0539513388521171,1.0327330205134198
2019-02-01,39.62147903442383,95.94677734375,0.0004805643553598138,-0.015800104352641453,1.0544578302978531,1.0164157310208892
2019-02-04,40.746925354003906,98.7099838256836,0.02840495476209437,0.028799367299579215,1.0844096572659998,1.0456878609876301
