Date,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return
2019-01-02,94.39717864990234,94.9852914037052,92.362112662214,92.9315582222207,35329300,,1.0
2019-01-03,90.92445373535156,93.52896405559063,90.73774627455798,93.4449439176932,42579100,-0.03678843969935086,0.9632115603006491
2019-01-04,95.15330505371094,95.69474615051092,92.35275649777576,93.09023513883162,44060600,0.04650950481009253,1.0080100529975888
2019-01-07,95.27465057373048,96.404204196358,94.2664586018881,94.8825755223383,35656100,0.0012752633232344657,1.0092955312476284
2019-01-08,95.96546173095705,97.05767390191076,94.9479254381183,96.18950360962788,31514400,0.00725073409418564,1.0166136647671549
2019-01-09,97.33772277832033,97.90716818175945,96.37620231347934,96.95498487233168,32280800,0.0142995305041147,1.0311507628773926
2019-01-10,96.7122573852539,96.85228621143776,95.57336671146264,96.35752386479514,30067600,-0.006425724531185839,1.0245248721250204
2019-01-11,95.96546173095705,96.5629114888546,94.88257959341584,96.32953245460828,28314200,-0.007721830453424228,1.0166136647671549
2019-01-14,95.26531219482422,96.03079504235994,94.52783368819703,95.12528336811948,28437100,-0.007295849188906356,1.0091966047856322
2019-01-15,98.0285186767578,98.06586017199722,95.1066089931919,95.69472864051,31587600,0.02900537895978994,1.038468734752373
2019-01-16,98.3739242553711,99.1954229832366,97.98184920188764,98.2619068813259,29853900,0.003523521351498138,1.0421278015121362
2019-01-17,99.06471252441406,99.54080051820524,97.7951302966484,98.01917212444197,28393000,0.007022066815691286,1.0494456925648439
2019-01-18,100.54900360107422,100.72637391327882,98.86867913961748,100.3156246101362,37427600,0.01498304531287431,1.0651695849299436
2019-01-22,98.65399169921876,99.97958298581506,97.88850870477378,99.65285374224038,32371300,-0.01884665023010934,1.0450947063270182
2019-01-23,99.61550903320312,99.92357107672709,98.33658932419232,99.0647379149298,25874300,0.00974636015657504,1.0552805757326114
2019-01-24,99.139404296875,99.8862200055949,98.33657990275798,99.75552832489328,23164800,-0.004779423816119177,1.050236942616267
2019-01-25,100.044921875,100.7077174721914,99.13941008996744,100.11026771916922,31225600,0.009133780705534722,1.0598295765389751
2019-01-28,98.0938720703125,99.40079601573274,97.7017970233352,99.19542133717438,29476700,-0.01950173750073214,1.0391610583417998
2019-01-29,96.0961685180664,97.99120543433052,95.37735699124372,97.90718526527668,31490500,-0.020365222720682974,1.0179983119460085
2019-01-30,99.30743408203124,99.30743408203124,97.3937304673391,97.66445097444586,49471900,0.03341720709042728,1.0520169723540136
2019-01-31,97.4870834350586,98.22456198471605,96.32018834803652,96.89897087517792,55636400,-0.018330456967289854,1.0327330205134198
